NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltsnettoeinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Urban (>100k Einw.);Land;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Saft;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Kaffee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Milch;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Vegane Milch;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Cola;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Eistee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Tee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Nichts davon;2. Wie häufig trinkst Du Saft?;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Apfel;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Karotte;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Mango;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Pfirsich;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Kirsche;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Kirsch-Banane;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Schwarze Johannisbeere;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Orange;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Passionsfrucht;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Rhabarber;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Keine davon
260;f;57;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;0;1;1;0;1;0;Alle 2-3 Tage;1;0;0;0;1;0;0;1;0;1;0
261;f;38;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;3000€ bis 4000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;0;1;0;1;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
262;m;33;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;1;DEU;1;1;1;1;1;1;1;0;Mehrmals am Tag;0;0;0;0;0;0;0;1;0;0;0
263;m;36;6;Sachsen-Anhalt;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;0;DEU;0;1;1;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
264;f;32;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;0;1;0;1;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
265;m;59;2;Nordrhein-Westfalen;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;1;DEU;0;1;1;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
266;f;59;6;Sachsen-Anhalt;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;0;0;1;0;0;0;Alle 2-3 Tage;1;0;1;1;1;1;0;1;1;0;0
267;m;38;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;0;1;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
268;m;20;1;Schleswig-Holstein;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;0;DEU;0;0;1;0;1;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-
269;m;65;2;Nordrhein-Westfalen;Sonstige;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;0;1;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
270;f;45;3a;Saarland;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;0;0;0;0;1;0;Ein Mal pro Woche;1;0;0;0;0;0;1;1;1;1;0
271;m;40;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;1;DEU;1;0;1;0;1;1;1;0;Ein Mal am Tag;1;0;0;1;0;1;0;1;0;0;0
272;m;45;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;0;1;0;1;0;Ein Mal pro Woche;1;0;1;1;1;1;1;1;1;1;0
273;f;26;5;Berlin;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;1;DEU;0;1;0;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
274;m;37;1;Hamburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;1;1;1;1;0;Mehrmals am Tag;1;0;1;0;0;0;0;0;0;0;0
275;f;28;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;0;DEU;0;1;1;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
276;f;62;1;Bremen;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;1;DEU;0;1;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
277;m;54;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;0;1;1;1;0;Ein Mal am Tag;0;0;1;1;1;0;0;1;1;0;0
278;f;21;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;1;DEU;0;1;0;0;1;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-
279;f;16;7;Thueringen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;0;DEU;1;0;1;1;1;1;1;0;Alle 2-3 Wochen;1;0;1;1;1;1;1;1;1;0;0
280;m;49;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;0;0;1;1;1;0;Ein Mal pro Woche;1;0;0;0;0;0;0;1;1;0;0
281;m;58;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;0;DEU;1;1;0;0;1;1;1;0;Alle 2-3 Wochen;0;0;1;0;0;1;0;0;0;1;0
282;f;19;7;Berlin;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;0;0;1;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
283;f;57;3a;Saarland;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Realschulabschluss;0;DEU;1;1;0;0;1;0;1;0;Alle 2-3 Wochen;1;0;0;1;1;0;1;1;0;0;0
284;f;46;7;Sachsen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;0;DEU;1;1;1;0;1;0;1;0;Ein Mal am Tag;0;0;0;0;1;1;1;0;0;1;0
285;f;19;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;0;0;0;1;0;0;Ein Mal am Tag;0;0;1;0;0;0;0;1;0;0;0
286;m;49;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Ohne Abschluss;0;DEU;0;0;0;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
287;m;29;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;0;0;0;1;1;0;0;Ein Mal pro Woche;0;0;0;1;0;0;0;0;0;1;0
288;f;30;1;Schleswig-Holstein;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;0;0;1;0;1;0;1;1;0;0
289;m;32;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Realschulabschluss;1;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;0;0;0;1;0;1;1;1;0;0
290;m;60;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;1;1;1;1;0;Mehrmals am Tag;1;1;1;1;1;1;1;1;1;1;0
291;f;48;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;0;1;0;Alle 2-3 Wochen;1;0;1;1;0;0;0;1;1;0;0
292;m;39;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;1;DEU;0;1;1;1;1;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-
293;m;48;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;1;DEU;0;1;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
294;f;55;6;Brandenburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;0;1;0;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
295;m;55;1;Bremen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;1;DEU;1;1;0;0;1;0;1;0;Ein Mal am Tag;1;0;0;0;0;0;0;1;0;0;0
296;f;59;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;0;1;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
297;f;35;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;0;1;0;1;0;1;0;Ein Mal pro Woche;1;0;0;0;0;1;1;1;0;0;0
298;f;51;2;Nordrhein-Westfalen;Sonstige;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Wochen;0;1;1;1;1;0;1;1;1;0;0
299;m;45;3a;Hessen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;1;DEU;0;1;1;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
300;m;28;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;1;1;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
301;m;20;5;Berlin;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;1;DEU;1;1;1;1;1;1;1;0;Ein Mal pro Woche;1;0;0;0;1;0;0;1;0;0;0
302;f;50;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;0;1;1;1;1;0;Alle 2-3 Tage;1;0;0;1;0;1;0;1;0;0;0
303;m;55;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;1;1;1;0;1;1;0;0;Ein Mal pro Woche;1;0;1;1;1;1;1;1;1;0;0
304;f;22;3a;Saarland;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;0;1;0;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
305;m;53;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Tage;1;1;1;1;1;1;1;1;1;1;0
306;m;41;7;Thueringen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;1;1;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
307;f;55;3a;Saarland;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;0;1;0;0;0;Ein Mal am Tag;0;0;0;0;0;0;0;1;0;0;0
308;m;46;3a;Saarland;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Universitärer Abschluss;Realschulabschluss;0;DEU;0;0;0;0;1;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-
309;m;64;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;0;0;0;0;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
310;f;62;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;1;DEU;0;1;1;1;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
311;m;28;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;1;1;1;1;0;Mehrmals am Tag;1;1;1;1;1;1;1;1;1;1;0
312;f;54;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;1;0;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
313;m;54;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;0;1;1;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
314;f;47;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;0;1;0;1;0;Ein Mal am Tag;0;0;0;0;0;0;0;1;0;0;0
315;m;19;5;Berlin;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;1;DEU;1;1;0;0;1;1;0;0;Alle 2-3 Tage;0;0;1;1;0;1;0;0;0;0;0
316;f;65;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;1;DEU;0;1;0;1;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
317;f;65;1;Niedersachsen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;0;1;1;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
318;m;63;1;Niedersachsen;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Ein Mal pro Woche;1;0;0;1;0;1;0;1;0;0;0
319;m;49;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;0;1;0;1;1;1;0;Ein Mal am Tag;0;1;1;1;1;0;0;1;0;0;0
320;m;40;1;Schleswig-Holstein;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;1;DEU;1;1;1;0;1;0;1;0;Alle 2-3 Tage;0;0;1;1;0;0;0;1;1;0;0
321;f;45;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;1;DEU;1;1;1;0;1;1;1;0;Ein Mal pro Woche;0;0;1;0;1;0;1;1;1;0;0
322;m;51;1;Hamburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;0;1;1;1;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
323;f;55;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;1;0;1;1;0;0;1;0;Ein Mal am Tag;0;1;0;1;0;0;1;1;0;0;0
324;m;64;7;Thueringen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;1;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
325;m;53;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;1;DEU;0;1;0;0;1;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
326;m;19;5;Berlin;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;0;0;0;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
327;f;33;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;1;DEU;0;1;1;0;1;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-
328;f;50;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;1;0;1;1;0;Alle 2-3 Tage;1;1;1;1;0;1;1;1;1;1;0
329;f;52;7;Thueringen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;1;DEU;0;1;0;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
330;f;34;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;1;DEU;1;1;1;0;1;1;1;0;Ein Mal am Tag;0;0;1;1;0;0;0;0;0;0;0
331;m;18;6;Sachsen-Anhalt;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;0;1;1;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
332;f;46;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;1;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
333;f;50;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;1;DEU;1;1;0;0;0;0;1;0;Ein Mal am Tag;1;0;0;0;0;1;0;1;0;0;0
334;m;47;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;1;DEU;1;1;1;0;1;1;0;0;Ein Mal pro Woche;1;0;1;1;1;1;1;1;1;0;0
335;m;35;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;0;1;0;1;0;Ein Mal am Tag;1;0;0;1;1;1;1;0;1;1;0
336;m;36;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Ohne Abschluss;1;DEU;1;1;1;1;1;1;1;0;Mehrmals am Tag;1;1;1;1;1;1;1;1;1;1;0
337;f;31;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;1;DEU;1;1;1;1;1;1;1;0;Alle 2-3 Tage;1;1;1;0;1;1;0;1;1;0;0
338;m;17;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;0;DEU;1;0;1;0;1;0;1;0;Alle 2-3 Tage;1;0;1;1;1;0;1;1;0;1;0
339;f;40;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Universitärer Abschluss;Realschulabschluss;0;DEU;0;1;1;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
340;f;40;3a;Rheinland-Pfalz;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;1;DEU;0;1;1;0;0;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
341;m;30;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;1;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Wochen;1;0;0;1;1;1;0;1;1;0;0
342;m;43;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;1;1;1;1;0;Alle 2-3 Tage;1;0;1;1;1;1;1;0;1;0;0
343;f;31;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;1;1;1;1;0;Alle 2-3 Tage;1;1;1;1;1;0;1;1;1;1;0
344;f;35;3b;Baden-Wuerttemberg;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;0;1;0;0;0;1;1;0;1;0
345;m;41;1;Bremen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;1;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Tage;1;0;1;1;1;1;1;1;1;0;0
